Song,Album,Album Release Date,Artist Names,Artist(s) Genres,Hot100 Ranking Year,Hot100 Rank,Song Length(ms),Spotify Link,Song Image,Spotify URI,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Valence,Key,Mode,Time Signature,Lyrics,Release Year
Lips Of An Angel,Extreme Behavior,2005-01-01,['Hinder'],"['post-grunge', 'alternative metal', 'nu metal']",2007,46,261853,https://open.spotify.com/track/40LQiUUUKXVGyNs09lHVjW,https://i.scdn.co/image/ab67616d00001e02395bf2151b99ef7f8b3116b5,spotify:track:40LQiUUUKXVGyNs09lHVjW,74,0.0217,0.476,0.736,1.08e-06,0.203,-5.38,0.0343,129.084,0.251,2,1,4,"Honey why you calling me so late?
It's kinda hard to talk right now.
Honey why are you crying? Is everything okay?
I gotta whisper 'cause I can't be too loud
Well, my girl's in the next room

Sometimes I wish she was you

I guess we never really moved on

It's really good to hear your voice say my name

It sounds so sweet

Coming from the lips of an angel

Hearing those words it makes me weak



And I never wanna say goodbye

But girl you make it hard to be faithful

With the lips of an angel



It's funny that you're calling me tonight

And, yes, I've dreamt of you too

And does he know you're talking to me

Will it start a fight

No I don't think she has a clue



Well my girl's in the next room

Sometimes I wish she was you

I guess we never really moved on

It's really good to hear your voice say my name

It sounds so sweet

Coming from the lips of an angel

Hearing those words it makes me weak



And I never wanna say goodbye

But girl you make it hard to be faithful

With the lips of an angel



It's really good to hear your voice say my name

It sounds so sweet

Coming from the lips of an angel

Hearing those words it makes me weak



And I never wanna say goodbye

But girl you make it hard to be faithful

With the lips of an angel



And I never wanna say goodbye

But girl you make it hard to be faithful

With the lips of an angel



Honey why you calling me so late?",2005.0
Waiting On the World to Change,Continuum,2006-09-11,['John Mayer'],"['neo mellow', 'singer-songwriter']",2007,47,201173,https://open.spotify.com/track/5imShWWzwqfAJ9gXFpGAQh,https://i.scdn.co/image/ab67616d00001e027af5fdc5ef048a68db62b85f,spotify:track:5imShWWzwqfAJ9gXFpGAQh,75,0.157,0.578,0.756,0.000232,0.249,-5.82,0.115,176.739,0.663,2,1,4,"Me and all my friends
we're all misunderstood
they say we stand for nothing and
there's no way we ever could
now we see everything that's going wrong

with the world and those who lead it

we just feel like we don't have the means

to rise above and beat it



so we keep waiting

waiting on the world to change

we keep on waiting

waiting on the world to change



it's hard to beat the system

when we're standing at a distance

so we keep waiting

waiting on the world to change



now if we had the power

to bring our neighbors home from war

they would have never missed a Christmas

no more ribbons on their door

and when you trust your television

what you get is what you got

cause when they own the information, oh

they can bend it all they want



that's why we're waiting

waiting on the world to change

we keep on waiting

waiting on the world to change



it's not that we don't care,

we just know that the fight ain't fair

so we keep on waiting

waiting on the world to change



and we're still waiting 

waiting on the world to change

we keep on waiting, waiting on the world to change

one day our generation

is gonna rule the population

so we keep on waiting

waiting on the world to change



Now we keep on waiting

waiting on the world to change",2006.0
Lost Without U,The Evolution of Robin Thicke,2006-01-01,['Robin Thicke'],"['dance pop', 'urban contemporary', 'pop rap', 'neo soul', 'r&b']",2007,48,254146,https://open.spotify.com/track/4V2F0DZrAXOWq9hkwMMG3x,https://i.scdn.co/image/ab67616d00001e02bc017391cc42cbc90dc02d5b,spotify:track:4V2F0DZrAXOWq9hkwMMG3x,65,0.226,0.664,0.351,2.38e-06,0.106,-12.136,0.118,113.204,0.816,0,1,5,"Tell me how u love me more
And how u think I'm sexy baby
That u don't want nobody else
U don't want this guy u don't want that guy u wanna
Touch yourself when u see me
Tell me how u love my body

And how I make u feel baby

U wanna roll with me u wanna hold with me

U wanna stay warm and get out of the cold with me

I just love 2 hear u say it

It makes a man feel good baby

Tell me u depend on me

I need 2 hear it



I'm lost without u

Cant help myself

How does it feel

2 know that I love u baby



Baby you're the perfect shape

Baby you're the perfect weight

Treat me like my birthday

I want it this way I want it that way I want it

Tell me u don't want me 2 stop

Tell me it would break your heart

That u love me and all my dirty

U wanna roll with me u wanna hold with me

U wanna make fires and get Norwegian wood with me

I just love 2 hear u say it

It makes a man feel good baby



I'm lost without u

Cant help myself

How does it feel

2 know that I love u baby",2006.0
If Everyone Cared,All the Right Reasons (Special Edition),2005-09-26,['Nickelback'],"['post-grunge', 'alternative metal', 'canadian rock']",2007,50,218013,https://open.spotify.com/track/44w63XqGr3sATAzOnOySgF,https://i.scdn.co/image/ab67616d00001e02105db7f723f33d9273fbf4d8,spotify:track:44w63XqGr3sATAzOnOySgF,60,0.000246,0.519,0.85,0.014,0.279,-4.678,0.0354,132.022,0.211,6,0,4,"From underneath the trees, we watch the sky
Confusing stars for satellites
I never dreamed that you'd be mine
But here we are, we're here tonight
Singing Amen, I, I'm alive

Singing Amen, I, I'm alive



[Chorus:]

If everyone cared and nobody cried

If everyone loved and nobody lied

If everyone shared and swallowed their pride

Then we'd see the day when nobody died



And I'm singing



Amen I, Amen I, I'm alive

Amen I, Amen I, Amen I, I'm alive



And in the air the fireflies

Our only light in paradise

We'll show the world they were wrong

And teach them all to sing along



Singing Amen, I, I'm alive

Singing Amen, I, I'm alive

(I'm alive)



[Chorus x2]



And as we lie beneath the stars

We realize how small we are

If they could love like you and me

Imagine what the world could be



If everyone cared and nobody cried

If everyone loved and nobody lied

If everyone shared and swallowed their pride

Then we'd see the day when nobody died

When nobody died...



[Chorus]



We'd see the day, we'd see the day

When nobody died

We'd see the day, we'd see the day

When nobody died

We'd see the day when nobody died",2005.0
Get It Shawty,Street Love,2007-01-01,['Lloyd'],"['southern hip hop', 'trap', 'urban contemporary', 'r&b']",2007,51,209533,https://open.spotify.com/track/2a03afRiyAbNAleOByVju4,https://i.scdn.co/image/ab67616d00001e02eec376776dc8377060f2be5c,spotify:track:2a03afRiyAbNAleOByVju4,65,0.123,0.822,0.905,0.0,0.0496,-4.032,0.241,128.014,0.674,5,0,4,"This is a...
I guess I can let this woman slip away
Cause I got my eye on you
I see ya lookin' over your shoulder
Let me make my way over

Excuse me miss lady, how ya doin'

your body lookin' right

I like it, I'm pursuin'

can I get a little closer

so I can get to know you and exchange names and thangs

before the night is over



All I really want is

for you to back it up

go on and put your weight on it

cause it's alright

do what you wanna

make me believe ya

I wanna see ya



Get it shawty

get it shawty

get it shawty

Get it shawty

get it shawty

get it shawty



I guess if I can let the night just drift away

so baby whatcha gon' do?

Cause I don't wanna lose it

come on keep it movin'

excuse me miss lady, how ya doin'

Your body lookin' right,

I like it, I'm pursuin'

can I get a little closer

so I can get to know you and exchange names and thangs

before the night is over



All I really want is

for you to back it up

go on and put your weight on it

cause it's alright

do what you wanna

make me believe ya

I wanna see ya



Get it shawty

get it shawty

get it shawty

Get it shawty

get it shawty

get it shawty



All I really want is

for you to back it up

go on and put your weight on it

cause it's alright

do what you wanna

make me believe ya

I wanna see ya



Get it shawty

get it shawty

get it shawty

Get it shawty

get it shawty

get it shawty",2007.0
Face Down,Don't You Fake It,2006-01-01,['The Red Jumpsuit Apparatus'],"['screamo', 'pop punk', 'alternative metal', 'post-grunge', 'neon pop punk']",2007,52,192000,https://open.spotify.com/track/4wzjNqjKAKDU82e8uMhzmr,https://i.scdn.co/image/ab67616d00001e02f98edbc89407338a90437d34,spotify:track:4wzjNqjKAKDU82e8uMhzmr,77,0.000665,0.545,0.932,0.0,0.127,-2.189,0.0399,92.956,0.464,7,0,4,"Hey girl you know you drive me crazy
one look puts the rhythm in my hand.
Still I'll never understand why you hang around
I see what's going down.
Cover up with make up in the mirror

tell yourself it's never gonna happen again

you cry alone and then he swears he loves you.



Do you feel like a man

when you push her around?

Do you feel better now as she falls to the ground?

Well I'll tell you my friend, one day this world's going to end

as your lies crumble down, a new life she has found.



A pebble in the water makes a ripple effect

every action in this world will bear a consequence

If you wade around forever you will surely drown

I see what's going down.



I see the way you go and say you're right again,

say you're right again

heed my lecture



Do you feel like a man

when you push her around?

Do you feel better now as she falls to the ground?

Well I'll tell you my friend, one day this world's going to end

as your lies crumble down a new life she has.



Face down in the dirt she says, this doesn't hurt she says I finally had enough..



Face down in the dirt she says, this doesn't hurt she says I finally had enough..



One day she will tell you that she has had enough

its coming round again.



Do you feel like a man, when you push her around?

Do you feel better now as she falls to the ground?

Well I'll tell you my friend, one day this world's going to end

as your lies crumble down, a new life she has.



Do you feel like a man, when you push her around?

Do you feel better now as she falls to the ground?

Well I'll tell you my friend, one day this world's going to end

as your lies crumble down, a new life she has.



Face down in the dirt she says, this doesn't hurt she says I finally had enough..",2006.0
Shortie Like Mine (feat. Chris Brown & Johntá Austin),The Price Of Fame,2006-12-18,"['Bow Wow', 'Chris Brown', 'Johnta Austin']","['hip pop', 'dance pop', 'southern hip hop', 'urban contemporary', 'rap', 'dirty south rap', 'trap', 'pop rap', 'r&b']",2007,54,268066,https://open.spotify.com/track/6oUGAx0vkBcnGzYkvw0ZsA,https://i.scdn.co/image/ab67616d00001e021a16a162f671e39c206dd3ef,spotify:track:6oUGAx0vkBcnGzYkvw0ZsA,64,0.0745,0.758,0.642,0.0,0.191,-8.128,0.221,142.078,0.701,7,0,4,"(feat. Chris Brown & Johnta Austin)
[Chorus]
Only thing that keeps me up when I'm feelin' down
I don't know about you but I gotta keep mines around cuz
I done looked I done searched and it's hard to find another shorty like mine

Baby yes I'm addicted to how we kick it everything you say to me

Never knew it could be so wicked hopin' that you stay wit me

Search around the world but you will never find another

Shorty like mine

Shorty like mine



[Hook]

I tell my niggas that uh you got a girl but she ain't nothin' like (mineeee)

Cute face nice size like (mineee)

Fake kitted hood wit like (mineee)

Lean walk talk the talk Let me tell you some more



[Verse 1]

I knew when I ran into this one she would be the redrum of my pimpin'

Knew she would be the one to make me stop caring about other girls

On my jock and gettin' them she was the one to slow me down hold me down

I roll wit her know go wit it now Im'a grow wit it now

I'ma go get her thas how

I got her don't be mad you can't get one hotta broke them up when they made lil' momma

I don't care what my ni99as say she been there everyday for my drama Some of the homies

Hate cuz they want her wish they the ones thas datin' my woman gone get a good look cuz she fine

And I don't mind cuz she mine



[Chorus]

Only thing that keeps me up when I'm feelin' down

I don't know about you but I gotta keep mines around cuz

I done looked I done searched and it's hard to find another shorty like mine

Baby yes I'm addicted to how we kick it everything you say to me

Never knew it could be so wicked hopin' that you stay wit me

Search around the world but you will never find another

Shorty like mine

Shorty like mine



[Hook]

I tell my niggas that uh you got a girl but she ain't nothin' like (mineeee)

Cute face nice size like (mineee)

Fake kitted hood wit like (mineee)

Lean walk talk the talk Chris help me tell them was up



[Bridge]

All this love inside of me and all I wanna do is give it to her

I don't care wat the fellas say bout it cuz I got somethin' to say bout it

Wat I'm about to say is straight up real talk no cut I don't play bout' it

There ain't a price u can put on a girl who knows just wat to say when

You need to hear it the most and I'ma tell you somethin' else if

I don't know nothin' else I know



[Chorus]

Only thing that keeps me up when I'm feelin' down

I don't know about you but I gotta keep mines around cuz

I done looked I done searched and it's hard to find another shorty like mine

Baby yes I'm addicted to how we kick it everything you say to me

Never knew it could be so wicked hopin' that you stay wit me

Search around the world but you will never find another

Shorty like mine

Shorty like mine



[Hook]

I tell my niggas that uh you got a girl but she ain't nothin' like (mineeee)

Cute face nice size like (mineee)

Fake kitted hood wit like (mineee)

Lean walk talk the talk let me tell you some more



[Verse 3]

I wanna give her the world and I ain't even tryna lose her

I'm addicted to my girl and the way that she twirks in that little skirt

Just for me in the club in the crib in the streets she reps for l-b-dub

E-n-t she a nice size with the pretty brown bright eyes

I'm a winner wit the

Right prize I'ma give it to her to the rythm of a hi-hat

She got a beautiful mind

You can't buy that and the site from behind when she walk on by make a

Ni99a wanna try that she got the prettiest smile and she gangsta keep me

From runnin' wild and i thank her and we can talk about anything she got

Good conversation my homie little friend and plus she patient



[Chorus]

Only thing that keeps me up when I'm feelin' down

I don't know about you but I gotta keep mines around cuz

I done looked I done searched and it's hard to find another shorty like mine

Baby yes I'm addicted to how we kick it everything you say to me

Never knew it could be so wicked hopin' that you stay wit me

Search around the world but you will never find another

Shorty like mine

Shorty like mine



[Hook]

I tell my niggas that uh you got a girl but she ain't nothin' like (mineeee)

Cute face nice size like (mineee)

Fake kitted hood wit like (mineee)

Lean walk talk the talk Chris help me tell them was up



[Chorus]

Only thing that keeps me up when I'm feelin' down

I don't know about you but I gotta keep mines around cuz

I done looked I done searched and it's hard to find another shorty like mine

Baby yes I'm addicted to how we kick it everything you say to me

Never knew it could be so wicked hopin' that you stay wit me

Search around the world but you will never find another

Shorty like mine

Shorty like mine",2006.0
I Tried,Strength & Loyalty,,"['Bone Thugs-N-Harmony', 'Akon']","['gangster rap', 'dance pop', 'hardcore hip hop', 'rap', 'ohio hip hop', 'hip hop']",2007,58,287480,https://open.spotify.com/track/2elA6JLRaQ6iB7hxiuTKN4,https://i.scdn.co/image/ab67616d00001e020c078eab10f525a0bd0eb6b3,spotify:track:2elA6JLRaQ6iB7hxiuTKN4,62,0.0104,0.727,0.71,0.0,0.107,-6.142,0.0742,81.995,0.378,4,1,4,"[Chorus] 
I tried so hard, can't seem to get away from misery, 
Man I tried so hard, but always be a victim of these streets, 
It Ain't my fault cause I, try to get away but trouble follows me, 
And still I try so hard, hopin one day they'll come and rescue me, 


But until then, I'll be posted up right here rain, sleet, hail, snow (hail snow) 

But until then, I'll be posted up right here with my heat gettin dough (gettin' dough) 



[verse 1]



First, let me explain that I'm just a black man, 

And I come from the darkside, so I'm havin a hard time stayin on track man, 

My mind be racin', and I don't even know what I'm chasin yet 

Been in and out of relationships, I'm startin to see that it's me where the complications at 

But I'm layin back, prayin' that, you get that piece of mind of me 

I thought I was right, but really I'm wrong, but again I was too blind to see, 

I was in the fast lane chasin my dream, 

And then it seemed when the fame and cash came, they just got me, 

Goin crazyyyy, (lately, lately) lately I been so faded trying to erase it, 

But I just can't cause the drama just grows greater, 

And I been in so many collisions by puttin shit off till later. 



[Chorus] 

I tried so hard, can't seem to get away from misery, 

Man I tried so hard, but always be a victim of these streets, 

It Ain't my fault cause I, try to get away but trouble follows me, 

And still I try so hard, hopin one day they'll come and rescue me, 



But until then, I'll be posted up right here rain, sleet, hail, snow (hail snow) 

But until then, I'll be posted up right here with my heat gettin dough (gettin' dough) 



[verse 2]



It's like I'm takin five steps forward, and ten steps back 

Tryna get ahead of the game but I can't seem to get it on track 

And I keep runnin away the ones that say they love me the most 

How could I create the distance when it's supposed to be close? And uh, 

I just don't know but I be out here fightin demons and 

It's like the curse that I can't shake this part of Cleveland and 

Lord, would you help me? And stop this pain 

I keep inflinctin on my family (family) 

Hustlin and gamblin, drinkin' and scramblin' 

And losin sight of what I supposed to be handlin' 

It's hard to manage cause every days a challenge and man 

And I'm slippin can't lose my balance and tryin not to panic 



[Chorus] 

I tried so hard, can't seem to get away from misery, 

Man I tried so hard, but always be a victim of these streets, 

It Ain't my fault cause I, try to get away but trouble follows me, 

And still I try so hard, hopin one day they'll come and rescue me, 



But until then, I'll be posted up right here rain, sleet, hail, snow (hail snow) 

But until then, I'll be posted up right here with my heat gettin dough (gettin' dough) 



[verse 3]



I see thangs won't change (wont change) I'm stuck in the game 

As soon as I get out it keeps pullin me back man (pullin me back man) 

Got me doin' dirty dirt, so used to this hustlin money, 

That I don't understand no nine to five work 

Studied on the streets, hustlas know what I mean 

Thugstas ballin' before us I'm tryna make that major league 

So we never leave never till the sun came up (came up) 

Gotta get it nope, no leavin, no grudge (no grudge) today games they play gotta go hard to get what you put in, if you fall off then its all on you (on you) gotta watch what you sign too, try so hard but I won't act a fool. 



[Chorus] 

I tried so hard, can't seem to get away from misery, 

Man I tried so hard, but always be a victim of these streets, 

It Ain't my fault cause I, try to get away but trouble follows me, 

And still I try so hard, hopin one day they'll come and rescue me, 



But until then, I'll be posted up right here rain, sleet, hail, snow (hail snow) 

But until then, I'll be posted up right here with my heat gettin dough (gettin' dough)",
Welcome to the Black Parade,The Black Parade,2006-10-23,['My Chemical Romance'],"['pop punk', 'emo', 'rock', 'pov: indie', 'modern rock']",2007,59,311106,https://open.spotify.com/track/5wQnmLuC1W7ATsArWACrgW,https://i.scdn.co/image/ab67616d00001e0217f77fab7e8f18d5f9fee4a1,spotify:track:5wQnmLuC1W7ATsArWACrgW,79,0.000289,0.217,0.905,0.00011,0.222,-4.103,0.0752,96.95,0.236,2,1,4,"When I was a young boy,
My father took me into the city
To see a marching band.
He said, ""Son when you grow up,
would you be the savior of the broken, 

the beaten and the damned?""

He said ""Will you defeat them,

your demons, and all the non-believers, 

the plans that they have made?""

""Because one day I'll leave you,

A phantom to lead you in the summer,

To join The Black Parade.""



When I was a young boy,

My father took me into the city

To see a marching band.

He said, ""Son when you grow up,

would you be the savior of the broken, 

the beaten and the damned?""



Sometimes I get the feeling she's watching over me.

And other times I feel like I should go.

And through it all, the rise and fall, the bodies in the streets.

And when you're gone we want you all to know.



We'll carry on,

We'll carry on

And though you're dead and gone believe me

Your memory will carry on

We'll carry on

And in my heart I can't contain it

The anthem won't explain it.



A world that sends you reeling from decimated dreams

Your misery and hate will kill us all.

So paint it black and take it back

Let's shout it loud and clear

Defiant to the end we hear the call



To carry on

We'll carry on

And though you're dead and gone believe me

Your memory will carry on

We'll carry on

And though you're broken and defeated

Your weary widow marches



On and on we carry through the fears

Ooh oh ohhhh

Disappointed faces of your peers

Ooh oh ohhhh

Take a look at me cause I could not care at all



Do or die, you'll never make me

Because the world will never take my heart

Go and try, you'll never break me

We want it all, we wanna play this part

I won't explain or say I'm sorry

I'm unashamed, I'm gonna show my scar

Give a cheer for all the broken

Listen here, because it's who we are

I'm just a man, I'm not a hero

Just a boy, who had to sing this song

I'm just a man, I'm not a hero

I! don't! care!



We'll carry on

We'll carry on

And though you're dead and gone believe me

Your memory will carry on

We'll carry on

And though you're broken and defeated

Your weary widow marches on



Do or die, you'll never make me

Because the world will never take my heart

Go and try, you'll never break me

We want it all, we wanna play this part (We'll carry on)



Do or die, you'll never make me (We'll carry on)

Because the world will never take my heart (We'll carry on)

Go and try, you'll never break me (We'll carry)

We want it all, we wanna play this part (We'll carry on)",2006.0
Shawty (feat. T Pain),The Real Testament,2007-08-06,"['Plies', 'T-Pain']","['gangster rap', 'southern hip hop', 'dance pop', 'miami hip hop', 'urban contemporary', 'rap', 'dirty south rap', 'trap', 'hip hop', 'pop rap', 'r&b']",2007,60,255413,https://open.spotify.com/track/0mYoKqA23wUUj7BTEgNzjg,https://i.scdn.co/image/ab67616d00001e022d9f3326c45a2733eea2164f,spotify:track:0mYoKqA23wUUj7BTEgNzjg,64,0.0419,0.444,0.708,0.0,0.0775,-5.926,0.126,105.412,0.26,4,0,5,"(feat. T-Pain)
[Plies Talkin:]
What's Happenin Homie Dis Ya Boy Plies Man Hey Pain Tell 'em 
Bout Your Shawty Ima Tel Em Bout Mine

[Chorus: T-Pain]

Even Though I'm Not Your Man, You Not My Girl

Ima Call You My Shawty

Cause I Can't Stand To See You Treated Bad

I Beat His Ass For My Shawty

And We Ain't Did Nothin That We Ain't Supposed To Do

Cause You My Shawty

Babygirl You Know I Be Home, Keep Me On The Ringtone Shawty

Sing It To Me Girl



[Verse 1: Plies]

Soon As I Seen Her, Shit Told Her I'd Pay For It

Lil Mama The Baddest Thing 'round Here & She Already Know It

I Pointed At The Donk & Told Her This Supposed To Be Yours

Showed Her A Couple Stacks & Told Her I'd Let Her Blow It

The Hottest Nigga In The City Baby You Can't Ignore It

I Showed Her I Was A Real Nigga & She Went For It

First Time I Caught Her Shit, She Aint Even Know How To Throw It Back

Now She An Animal, I Got Her Sex Game Right

I Taught Her How To Talk To Me While She Take Pipe

& Opened Her Up & Showed Her What A Real Nigga Like

I Told Her I Don't Usually Do This, I Don't Fuck On The First Night

Cause After I Beat Ya Baby I'm Liable To Fuck Up Ya Whole Life

I Gotta Train Her, Now She Suck Me With Ice

I Call Her My Lil Bust It Baby Cause She Keep It Tight

Whenever I Tell Her To Bust, Aint Gotta Tell Her Twice

Whenever I Wanna Get Off She Know How To Get Me Right



[Chorus: T-Pain]

Even Though I'm Not Your Man, You Not My Girl

Ima Call You My Shawty

Cause I Can't Stand To See You Treated Bad

I Beat His Ass For My Shawty

And We Aint Did Nothin That We Ain't Supposed To Do

Cause You My Shawty

Babygirl You Know I Be Home, Keep Me On The Ringtone Shawty

Sing It To Me Girl



[x2:]

Whoa W-W-Whoa Whoa Whoa Whooooa Whoa Whoa

Whoa W-W-Whoa Shawtyyyyy



[Verse 2: Plies]

I Love To Show Her Off, Cause All The Dope Boys Want Her

Know Why They Wanna Beat Bae, Look At All That Ass On Her

Look How That Pussy Sit Up In Them Shorts, You Gotta Want Her

Love When She Act Like She Bo-Legged & Bend The [Corner ?]

She Proud To Be Fuckin Me, Cause I'm Stuntin On her

It Feel Good To Be Fuckin A Real Nigga Don't'uh

Aint Called Her In 2 Days, Gotta Let Her Mind Wonder

But When She Miss Me, She Call To Tell Me To Jump On Her

Thats Why I Don't Mind Breakin Her Off, Cause She Aint With The Drama

If You Done Ripped Her Before, You Know How To Cuff Lil Mama

You Know She Gotta Be Somethin, Cause I Done Beat Her Under

bae Snatchin down there, I'm Tellin Ya, I Promise

I Exposed Her To Real, & Now She Hate Lames

Member She Used To Run From Me, Now She Like Pain

She Call Me Sometimes Just To Ask Is It Her Thing

Ever Since I Ran Up In Shawty She Ain't Been The Same



[Chorus: T-Pain]

Even Though I'm Not Your Man, You Not My Girl

Ima Call You My Shawty

Cause I Can't Stand To See You Treated Bad

I Beat His Ass For My Shawty

And We Aint Did Nothin That We Ain't Supposed To Do

Cause You My Shawty

Babygirl You Know I Be Home, Keep Me On The Ringtone Shawty

Sing It To Me Girl



[x2:]

Whoa W-W-Whoa Whoa Whoa Whooooa Whoa Whoa

Whoa W-W-Whoa Shawtyyyyy",2007.0
Chasing Cars,Eyes Open,2006-01-01,['Snow Patrol'],"['irish rock', 'neo mellow', 'permanent wave', 'pop rock', 'modern rock']",2007,61,267960,https://open.spotify.com/track/5hnyJvgoWiQUYZttV4wXy6,https://i.scdn.co/image/ab67616d00001e025da2756220da9b6f17924f8f,spotify:track:5hnyJvgoWiQUYZttV4wXy6,82,0.199,0.56,0.595,6.47e-05,0.132,-4.53,0.0274,104.011,0.144,9,1,4,"We'll do it all 
Everything 
On our own 
We don't need 
Anything 

Or anyone 



If I lay here 

If I just lay here 

Would you lie with me and just forget the world? 



I don't quite know 

How to say 

How I feel 



Those three words 

Are said too much 

They're not enough 



If I lay here 

If I just lay here 

Would you lie with me and just forget the world? 



Forget what we're told 

Before we get too old 

Show me a garden that's bursting into life 



Let's waste time 

Chasing cars 

Around our heads 



I need your grace

To remind me

To find my own



If I lay here 

If I just lay here 

Would you lie with me and just forget the world? 



Forget what we're told

Before we get too old

Show me a garden that's bursting into life 



All that I am 

All that I ever was 

Is here in your perfect eyes, they're all I can see 



I don't know where 

Confused about how as well 

Just know that these things will never change for us at all 



If I lay here 

If I just lay here 

Would you lie with me and just forget the world?",2006.0
SexyBack (feat. Timbaland),FutureSex/LoveSounds,2006-09-12,"['Justin Timberlake', 'Timbaland']","['dance pop', 'pop rap', 'pop']",2007,63,242733,https://open.spotify.com/track/0O45fw2L5vsWpdsOdXwNAR,https://i.scdn.co/image/ab67616d00001e02c6ba98fd3f3b396a6c6f7091,spotify:track:0O45fw2L5vsWpdsOdXwNAR,80,0.0584,0.967,0.583,0.0,0.0519,-5.562,0.0789,117.0,0.964,7,0,4,"I'm bringing sexy back
Them other boys don't know how to act
I think your special what's behind your back
So turn around and I'll pick up the slack.
Take em' to the bridge



Dirty babe

You see these shackles, baby I'm your slave

I'll let you whip me if I misbehave

It's just that no one makes me feel this way



Take em' to the chorus



Come here girl,

go ahead, be gone with it

Come to the back,

go ahead, be gone with it

VIP

Go ahead, be gone with it

Drinks on me

Go ahead, be gone with it

Let me see what you're working with

Go ahead, be gone with it

Look at those hips

Go ahead, be gone with it

You make me smile

Go ahead, be gone with it

Go ahead child

Go ahead, be gone with it

And get your sexy on

Go ahead, be gone with it



Get your sexy on

Go ahead, be gone with it

Get your sexy on

Go ahead, be gone with it

Get your sexy on

Go ahead, be gone with it

Get your sexy on

Go ahead, be gone with it

Get your sexy on

Go ahead, be gone with it

Get your sexy on

Go ahead, be gone with it

Get your sexy on



I'm bringing sexy back

Them other fuckers don't know how to act

Come let me make up for the things you lack

'Cause your burning up I gotta get it fast



Take em' to the bridge



Dirty babe

You see these shackles, baby I'm your slave

I'll let you whip me if I misbehave

It's just that no one makes me feel this way



Come here girl,

Go ahead, be gone with it

Come to the back,

go ahead, be gone with it

VIP

Go ahead, be gone with it

Drinks on me

Go ahead, be gone with it

Let me see what you're working with

Go ahead, be gone with it

Look at those hips

Go ahead, be gone with it

You make me smile

Go ahead, be gone with it

Go ahead child

Go ahead, be gone with it

And get your sexy on

Go ahead, be gone with it



Get your sexy on

Go ahead, be gone with it

Get your sexy on

Go ahead, be gone with it

Get your sexy on

Go ahead, be gone with it

Get your sexy on

Go ahead, be gone with it

Get your sexy on

Go ahead, be gone with it

Get your sexy on

Go ahead, be gone with it

Get your sexy on



You're ready?

you're ready?

you're ready?

mmm... yes!



I'm bringing sexy back

Them other fuckers wait till I attack

If that's your girl you better watch your back

'Cause she'll burn it up for me and that's a fact



Take em' to the chorus



Come here girl

Go ahead, be gone with it

Come to the back

Go ahead, be gone with it

VIP

Go ahead, be gone with it

Drinks on me

Go ahead, be gone with it

Let me see what you're working with

Go ahead, be gone with it

Look at those hips

Go ahead, be gone with it

You make me smile

Go ahead, be gone with it

Go ahead child

Go ahead, be gone with it

Get your sexy on

Go ahead, be gone with it



Get your sexy on

Go ahead, be gone with it

Get your sexy on

Go ahead, be gone with it

Get your sexy on

Go ahead, be gone with it

Get your sexy on

Go ahead, be gone with it

Get your sexy on

Go ahead, be gone with it

Get your sexy on

Go ahead, be gone with it

Get your sexy on.



You're ready?... Yes!

You're ready?... Yes!

Yes",2006.0
Keep Holding On,The Best Damn Thing (Expanded Edition),2007-04-17,['Avril Lavigne'],"['candy pop', 'pop', 'canadian pop']",2007,64,239906,https://open.spotify.com/track/4UPcXTh26ilb7owtuyHqNI,https://i.scdn.co/image/ab67616d00001e02476cdf5837ae39eee951cc15,spotify:track:4UPcXTh26ilb7owtuyHqNI,66,0.0374,0.162,0.786,0.0,0.143,-2.353,0.038,161.192,0.138,7,1,3,"You're not alone
Together we stand
I'll be by your side, you know I'll take your hand
When it gets cold
And it feels like the end
There's no place to go

You know I won't give in

No I won't give in



Keep holding on

'Cause you know we'll make it through, we'll make it through

Just stay strong

'Cause you know I'm here for you, I'm here for you

There's nothing you could say

Nothing you could do

There's no other way when it comes to the truth

So keep holding on

'Cause you know we'll make it through, we'll make it through



So far away

I wish you were here

Before it's too late, this could all disappear

Before the doors close

And it comes to an end

With you by my side I will fight and defend

I'll fight and defend

Yeah, yeah



Keep holding on

'Cause you know we'll make it through, we'll make it through

Just stay strong

'Cause you know I'm here for you, I'm here for you

There's nothing you could say

Nothing you could do

There's no other way when it comes to the truth

So keep holding on

'Cause you know we'll make it through, we'll make it through



Hear me when I say, when I say I believe

Nothing's gonna change, nothing's gonna change destiny

Whatever's meant to be will work out perfectly

Yeah, yeah, yeah, yeah



La da da da

La da da da

La da da da da da da da da



Keep holding on

'Cause you know we'll make it through, we'll make it through

Just stay strong

'Cause you know I'm here for you, I'm here for you

There's nothing you could say

Nothing you could do

There's no other way when it comes to the truth

So keep holding on

'Cause you know we'll make it through, we'll make it through



Keep holding on

Keep holding on



There's nothing you could say

Nothing you could do

There's no other way when it comes to the truth

So keep holding on

'Cause you know we'll make it through, we'll make it through",2007.0
